"Отметка времени","Я:","Возраст:","Есть ли у Вас комнатные растения?","Хотели бы Вы купить комнатное растение?","Хочу купить растение, почему?","Не хочу покупать растение, почему?","А может кактус? Прикольно выглядит, ухаживать не нужно","Сколько бы Вы максимум потратили на растение?"
"2018/03/29 5:11:02 PM GMT+3","Мужчина","18-23","Да","Да","Хочу украсить свой интерьер, не хватает зелени","","","600-900"
"2018/03/29 5:14:38 PM GMT+3","Мужчина","24-29","Да","Нет","","Их и так много","",""
"2018/03/29 5:16:45 PM GMT+3","Женщина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","400-600"
"2018/03/29 5:17:15 PM GMT+3","Женщина","18-23","Да","Да","Хочу украсить свой интерьер, не хватает зелени","","","200-400"
"2018/03/29 5:18:32 PM GMT+3","Мужчина","18-23","Нет","Нет","","Надо ухаживать","Нет",""
"2018/03/29 5:18:41 PM GMT+3","Мужчина","18-23","Нет","Нет","","Не интересно","",""
"2018/03/29 5:19:01 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","600-900"
"2018/03/29 5:19:27 PM GMT+3","Мужчина","18-23","Да","Да","Хз","","","1300-1600"
"2018/03/29 5:19:45 PM GMT+3","Женщина","18-23","Да","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","400-600"
"2018/03/29 5:20:12 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","200-400"
"2018/03/29 5:20:30 PM GMT+3","Женщина","18-23","Да","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","200-400"
"2018/03/29 5:20:30 PM GMT+3","Мужчина","18-23","Нет","Да","Поставлю себе на стол, буду любоваться и поливать","","","400-600"
"2018/03/29 5:20:52 PM GMT+3","Мужчина","18-23","Нет","Нет","","Надо ухаживать","Купил бы","400-600"
"2018/03/29 5:21:12 PM GMT+3","Мужчина","18-23","Нет","Да","Хочу украсить свой интерьер, не хватает зелени","","","400-600"
"2018/03/29 5:21:19 PM GMT+3","Женщина","18-23","Нет","Нет","","Надо ухаживать","Купил бы","1600-2000"
"2018/03/29 5:21:23 PM GMT+3","Мужчина","18-23","Да","Нет","","Надо ухаживать","Нет",""
"2018/03/29 5:21:25 PM GMT+3","Мужчина","18-23","Нет","Нет","","Надо ухаживать","Купил бы","900-1300"
"2018/03/29 5:21:27 PM GMT+3","Женщина","18-23","Нет","Нет","","Надо ухаживать","Купил бы","200-400"
"2018/03/29 5:21:37 PM GMT+3","Мужчина","18-23","Да","Нет","","Не интересно","",""
"2018/03/29 5:21:37 PM GMT+3","Женщина","18-23","Да","Да","Куплю кактус, прикольно выглядит и ухаживать не надо","","","600-900"
